most_ads_day,test_group,users,conversions,conversion_rate,conversion_rate_pct
Monday,ad,83571,2778,0.033241196108697996,3.3241196108697997
Monday,psa,3502,79,0.022558537978298116,2.2558537978298117
Tuesday,ad,74572,2270,0.03044037976720485,3.044037976720485
Tuesday,psa,2907,42,0.014447884416924664,1.4447884416924663
Wednesday,ad,77418,1963,0.025355860394223564,2.5355860394223564
Wednesday,psa,3490,55,0.015759312320916905,1.5759312320916905
Thursday,ad,79077,1711,0.021637138485273846,2.1637138485273844
Thursday,psa,3905,79,0.020230473751600513,2.0230473751600515
Friday,ad,88805,1995,0.022464951297787288,2.246495129778729
Friday,psa,3803,62,0.01630291874835656,1.630291874835656
Saturday,ad,78802,1679,0.021306565823202457,2.130656582320246
Saturday,psa,2858,40,0.013995801259622114,1.3995801259622114
Sunday,ad,82332,2027,0.024619831900111744,2.4619831900111744
Sunday,psa,3059,63,0.020594965675057208,2.059496567505721
