exposure_decile,mean_total_ads,users,conversion_rate,conversion_rate_pct
1,1.4111420794065654,92209,0.0019195523213569174,0.19195523213569174
2,3.0,27328,0.0028176229508196722,0.2817622950819672
3,4.555756073376301,50425,0.003430837878036688,0.3430837878036688
4,6.875167258389681,56051,0.004210451196232003,0.42104511962320035
5,11.045777076968562,60882,0.006832889852501561,0.683288985250156
6,15.544919103037184,56368,0.007788106727221119,0.7788106727221119
7,20.833691594071727,61873,0.012945872997915085,1.2945872997915084
8,28.586647185872188,47226,0.022741710074958708,2.274171007495871
9,43.039300370961094,55801,0.05143277002204261,5.143277002204261
10,116.9581309603999,56414,0.14464494628992802,14.464494628992803
