most_ads_hour,test_group,users,conversion_rate,conversion_rate_pct
0,ad,5309,0.019212657750988887,1.9212657750988886
0,psa,227,0.0,0.0
1,ad,4615,0.013434452871072589,1.3434452871072589
1,psa,187,0.0,0.0
2,ad,5152,0.007569875776397516,0.7569875776397516
2,psa,181,0.0,0.0
3,ad,2590,0.010424710424710425,1.0424710424710426
3,psa,89,0.011235955056179775,1.1235955056179776
4,ad,694,0.01585014409221902,1.585014409221902
4,psa,28,0.0,0.0
5,ad,742,0.0215633423180593,2.15633423180593
5,psa,23,0.0,0.0
6,ad,1985,0.023173803526448364,2.3173803526448364
6,psa,83,0.0,0.0
7,ad,6168,0.01848249027237354,1.8482490272373542
7,psa,237,0.008438818565400843,0.8438818565400843
8,ad,16968,0.01986091466289486,1.9860914662894862
8,psa,659,0.010622154779969651,1.062215477996965
9,ad,29802,0.019528890678477955,1.9528890678477955
9,psa,1202,0.010815307820299502,1.0815307820299502
10,ad,37454,0.021840123885299302,2.18401238852993
10,psa,1485,0.013468013468013467,1.3468013468013467
11,ad,44149,0.022469365104532377,2.2469365104532377
11,psa,2061,0.01455604075691412,1.455604075691412
12,ad,45238,0.024138998187364605,2.4138998187364606
12,psa,2060,0.01699029126213592,1.6990291262135921
13,ad,45485,0.025063207650873914,2.5063207650873913
13,psa,2170,0.016589861751152075,1.6589861751152075
14,ad,43779,0.028575344343178235,2.8575344343178233
14,psa,1869,0.016051364365971106,1.6051364365971106
15,ad,42855,0.029844825574612065,2.9844825574612064
15,psa,1828,0.02516411378555799,2.516411378555799
16,ad,35963,0.030892862108277953,3.089286210827795
16,psa,1604,0.02805486284289277,2.8054862842892767
17,ad,33605,0.02853742002678173,2.8537420026781732
17,psa,1383,0.02024584237165582,2.0245842371655822
18,ad,31052,0.02747005023830993,2.747005023830993
18,psa,1271,0.025177025963808025,2.5177025963808024
19,ad,29169,0.026809283828722275,2.6809283828722275
19,psa,1183,0.024513947590870666,2.4513947590870666
20,ad,27846,0.030273647920706744,3.0273647920706743
20,psa,1077,0.017641597028783658,1.7641597028783658
21,ad,28895,0.029174597681259733,2.917459768125973
21,psa,1081,0.022201665124884366,2.2201665124884364
22,ad,25515,0.026455026455026454,2.6455026455026456
22,psa,917,0.016357688113413305,1.6357688113413305
23,ad,19547,0.02297027676881363,2.297027676881363
23,psa,619,0.012924071082390954,1.2924071082390953
