user_id,test_group,total_ads,most_ads_day,most_ads_hour,converted
1069124,ad,130,Monday,20,False
1119715,ad,93,Tuesday,22,False
1144181,ad,21,Tuesday,18,False
1435133,ad,355,Tuesday,10,False
1015700,ad,276,Friday,14,False
1137664,ad,734,Saturday,10,False
1116205,ad,264,Wednesday,13,False
1496843,ad,17,Sunday,18,False
1448851,ad,21,Tuesday,19,False
1446284,ad,142,Monday,14,False
1257223,ad,209,Wednesday,11,False
1637531,ad,47,Wednesday,13,False
1081965,ad,61,Tuesday,20,False
1037215,ad,40,Friday,13,False
1535652,ad,20,Tuesday,19,False
1461774,ad,9,Wednesday,18,True
1492276,ad,64,Tuesday,12,False
1118924,ad,26,Wednesday,11,False
900681,psa,248,Saturday,19,False
1053783,ad,73,Friday,19,False
1381767,ad,281,Wednesday,11,False
1478526,ad,389,Saturday,19,False
1436823,ad,136,Sunday,16,False
1274572,ad,47,Saturday,21,False
1441220,ad,264,Saturday,3,False
1025687,ad,87,Tuesday,23,False
1451900,ad,46,Tuesday,20,False
1098821,ad,3,Tuesday,19,False
1333281,ad,114,Monday,23,False
1238323,ad,175,Thursday,21,False
1034350,ad,87,Tuesday,19,False
1175118,ad,119,Tuesday,4,False
1325185,ad,313,Saturday,19,False
1651459,ad,89,Monday,19,False
1196281,ad,364,Wednesday,10,False
1459497,ad,24,Thursday,16,False
1482561,ad,112,Friday,22,False
1067720,ad,49,Tuesday,19,False
905704,psa,27,Thursday,8,False
1486907,ad,274,Wednesday,21,False
1011246,ad,45,Wednesday,13,False
1521269,ad,177,Sunday,16,False
1580543,ad,46,Thursday,21,False
1320295,ad,90,Saturday,19,False
1355531,ad,265,Tuesday,12,True
1076583,ad,119,Wednesday,10,False
1086831,ad,71,Wednesday,0,False
1646896,ad,31,Thursday,12,False
1381174,ad,588,Saturday,20,False
1107193,ad,56,Thursday,10,False
1301170,ad,108,Sunday,19,False
1317684,ad,45,Sunday,11,False
1449190,ad,103,Monday,19,False
1000837,ad,239,Saturday,12,False
1194204,ad,73,Wednesday,14,False
